sentence,Is not valid,Annotations,Paper's Tags,Predicted Tags
شکری در ادامه یک طرفه کردن محورهای هراز و کندوان از سوی پلیس راه استان را به منزله تسهیل در سفر خواند و هشدار داد این تصمیم با دستورالعمل ها و سیاست های ابلاغی وزارت بهداشت و درمان در تضاد است,,B B I B I I I I I I B I B I I B B I B I I B B B B B I B B I I I I I I I I I B B B,B-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O O B-NP I-NP I-NP O O B-NP O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I
به گزارش نقل از روابط عمومی بانک صادرات ایران محمدرضا پورابراهیمی با اشاره به لزوم ارتقای نظام بانکداری کشور گفت مجموع نظام بانکی با توجه به شرایط جدید در وضعیت اقتصاد کشور باید از طرف مجموعه حاکمیت از جمله قوه مجریه قوه مقننه و همه نظام مورد حمایت قرار بگیرد,,B I I I B I I I I B I B B B B I I I I B B I I B I B B I B B I I B B I B I B I B I B I B B I B I B I,O B-NP O O B-NP I-NP I-NP I-NP I-NP B-NP I-NP O B-NP O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O O B-NP I-NP O B-NP I-NP I-NP O O O B-NP I-NP O O B-NP I-NP B-NP I-NP O B-NP I-NP B-NP I-NP O O,B I B B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
im,1,,I-NP,B
هم طرف چینی و هم طرف امریکایی با صدور بیانیه هایی جداگانه از پیشرفت ملموس در جریان مذکرات خبر داده اند,,B B I B B B I B B I I I B B I I I I B I I,O B-NP I-NP O O B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I
___________________________________________________بیشتر بخوانید با الزایمر با مصرف میوه بلوبری عجیب مردم هلند به یک میوه ( با الزایمر با مصرف میوه بلوبری,1,,O O O B-NP O B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP O O B-NP O B-NP I-NP I-NP,B I I I I I I I I I I I I I B B I I I I I
به گزارش ایسنا به نقل از دادگستری فارس وی همچنین از بازداشت دو نفر دیگر از همدستان این افراد که در فراهم نمودن مقدمات فساد همکاری داشته اند خبر داد و بیان داشت : پرونده در حال انجام تحقیقات تکمیلی تحت نظارت بازپرس ویژه می باشد,,B B I B B I I I B B B B I I I I I I I B B B I I I B I I B I B B I B B B I B I I B B I I B I,O B-NP I-NP O B-NP I-NP I-NP I-NP B-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP O O O O O O O O O B-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP O O,B I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I
بهای معاملات این بازار روز چهارشنبه 29 دلار و 40 سنت معادل 1,1,,B-NP I-NP I-NP I-NP B-NP I-NP B-NP I-NP I-NP I-NP I-NP O I-NP,B I I I I I I I I B I I B
مواجه هستند منازل ان ها عمدتا سند ندارد اما با تلاش دفاتر تسهیلگری در طول سه سال نزدیک به ۲هزار و 800 میلیارد تومان پروژه های اجتماعی و رفاهی و اقتصادی را در مناطق حاشیه نشین اجرا کنند,1,,O O B-NP I-NP I-NP O B-NP O O O B-NP I-NP I-NP O O B-NP I-NP O O B-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I
"احمدی اذر در خاتمه با توصیه به استفاده از خدمات برخط و خدمات انلاین بانک تجارت گفت همو طن و مشتریان گرامی بانک تجارت می توانند با توجه به کارامدی خدمات بانکداری انلاین بانک مانند همراه بانک بانک نرم افزار "" و",1,,B-NP I-NP O O O B-NP O B-NP O B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP O B-NP I-NP I-NP I-NP O O O O O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I
طبق براورد ما بعد از اتمام انتخابات در امریکا قیمت دلار به سرعت بالا خواهد رفت,,B I I B I B I I I B I B I B I I,B-NP I-NP I-NP O O B-NP I-NP I-NP I-NP B-NP I-NP O O O O O,B I I B I I I I I I I I I I I I
اگر در زمینه واکسن مقابله با کرونا به دستاوردهای قابل اتکای جدیدی برش ان وقت شاهد یک دوره طولانی و باثبات در صعود شاخص ها خواهیم بود اما حتی بدون ان هم انتظار داریم شاخص ها در سطح بالاتری از جایی که ماه قبل در ان قرار داشتند بایستند,1,,O O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O O O O B-NP O O O B-NP I-NP O B-NP I-NP O B-NP O B-NP O O B-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I
تاکنون در مورد تعداد افراد محکوم به قصاص نفس در یزد اماری منتشر نشده است,,B B I B I I I I I B B B B I I,O O O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-NP O O O,B I I I I I I I I I I I I I I
عدم پذیرش شکست و بهانه جویی و وصل کردن عدم نتیجه گیری به زمین و زمان,,B I I B B I B B I I I I I I I I,B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP,B I I I I I I I I I I I I I I I
یارب افزود مبتلایان در هتل های محلی قرنطینه شده و هزینه جا و غذایشان پرداخت می شود,,B B B B B I I B I B B I I I B I I,B-NP O B-NP O B-NP I-NP I-NP O O O B-NP I-NP I-NP I-NP O O O,B I I I I I I I B I I I I I I I I
وی در اظهارات تلویزیونی خود مطرح کرد مردم لبنان انتظار دارند اگر کانادا در این تحقیقات مشارکت کند به این خاطر است که تحقیقات قابل اعتماد و شفاف باشد و به منظور تحقق عدالت همه چیز را روشن کند,,B B B I I B I B I B I B B B B I B I B B I B B B B I I I B B B I B I B I B B I,B-NP O B-NP I-NP I-NP O O B-NP I-NP O O O B-NP O B-NP I-NP O O O B-NP I-NP O O B-NP O O O O O O O O B-NP I-NP B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
با وجود انتشار اخبار مربوط به پیشرفت دارویی مقابله با کرونا این ویروس کماکان در حال گرفتن جان شمار زیادی از مردم جهان است و بیم ان می رود که وضعیت با فرا رسیدن فصل پاییز از این هم بدتر شود,,B I B I I I I I I I B B I B B I B I I I I I I B B B I B I B B B B I I I B B B B I,O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP B-NP I-NP O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O O O B-NP O B-NP I-NP I-NP I-NP O B-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I
وی گفت این عدم اعتماد به نهادهای نظارتی کشور باز می گردد و ما امروز از این بابت باید تاسف بخوریم,,B B B I I I I I I B I I B B B B B I B B I,B-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O O B-NP O O B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I
به گفته مادر رومینا حکم دادگاه برای بهمن خاوری که فرزندش چند روز قبل از قتل با او فرار کرده بود تحمل تنها دو سال حبس است,,B B I I B I B B I B B B I I I I B B B I I B I I I I B,O B-NP I-NP I-NP B-NP I-NP O B-NP I-NP O B-NP B-NP I-NP I-NP I-NP I-NP O B-NP O O O B-NP I-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I B I I I I I I I I I I B I
قاتل این بار با برگزاری قسام بی گناهی خود را اثبات کرد,,B I I B B I B I I B B I,B-NP I-NP I-NP O B-NP I-NP B-NP I-NP I-NP O O O,B I I I I I I I I I I I
ما وقتی به بچه ها یاد بدهیم که محبت داشته باشند مهربان باشند باگذشت باشند صبر داشته باشند و بیندیشند و مسايلی از این قبیل بدون شک ان ها را در حوزه دین و دین باوری بزرگ کرده ایم,,B B B B I B I B B B I B I B I B I I B B B B I I I B I B I B B B I I I I B I I,B-NP O O B-NP I-NP O O O O O O O O O O O O O O O O B-NP I-NP I-NP I-NP O O B-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O O O,B B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
طرحی که در صورت تصویب احتمالا باعث مسدود شدن همه پیام رسان های خارجی می شود,,B B B I B B B B I I I I I I B I,B-NP O O O B-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I
كارگزاران بیشتر از 10 سال نیست كه سابقه دارد,,B I I I I B B B I,B-NP I-NP I-NP I-NP I-NP O O B-NP O,B I I B I I I I I
» هاشم ذوالفقاری اما از ادامه دار نبودن حمایت ها از بازار سرمایه گلایه کرد و به کنایه نوشت «اون پنجاه هزار میلیارد که گفتن برای حمایت بازار اماده است به ریال بود,1,,O B-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O O O O O B-NP I-NP I-NP I-NP O O O B-NP I-NP O O O B-NP O,B B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
خدمات غیرحضوری در این بانک توسعه یافت که این امر بر افزایش تعداد مشتریان بانک اثرگذار بود,,B I B B I B I B B I B B I I I B I,B-NP I-NP O B-NP I-NP O O O B-NP I-NP O B-NP I-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I
وی با بیان اینکه هم وطنان به هیچ عنوان سفرهای غیر ضروری را اغاز نکنند گفت هم اکنون عبور انواع وسایل نقلیه از جنوب به شمال محور فیروزکوه نیز سنگین و پرحجم در جریان است و در محدوده شهرهای گیلاوند رودهن و فیروزکوه شاهد پس زدگی چندین کیلومتری خودروها هستیم,,B B B B B I B I I B I I B B I B B I B I I I I I I I I I B B B B B I I B B B I I I I I B I I I I I B,B-NP O B-NP O B-NP I-NP O O O B-NP I-NP I-NP O O O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O O O O O O O B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
به گزارش نقل از سی ان بی سی در یک تغییر سیاستی بزرگ بانک مرکزی امریکا اعلام کرد که با هدف حمایت از بازار کار و تقویت رشد اقتصادی هدف گذاری تورمی قبلی خود را رها کرده و اجازه خواهد داد تا نرخ تورم با سرعت بیشتری افزایش پیدا کند,,B I I I B I I I B B I I I B I I B I B B B I I I I I I I I B I I I I B B I B B I I B B I B B I B I I,O O O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-NP I-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP O O O O O O O O B-NP I-NP O B-NP I-NP O O O,B I B B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
به نظرم یک فوتبالیست متفاوت می امد محجوب باهوش فروتن و فداکار,,B I B I I B I B B B B B,O O B-NP I-NP I-NP O O O O O O O,B I I I I I I I I I I I
7 درصد جهش یافت و به 28 دلار و 69 سنت رسید,,B I I I B B B I I I I B,I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O,B I I I I I B I I B I I
این تمرکز و انباشت جمعیت باعث بروز مشکلات بسیاری شده است,,B I I I I B B I I B I,B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O,B I I I I I I I I B I
این کارشناس بازار سرمایه افزود قیمت دلار سود شرکت های سهام عدالت را بالا برد و سهامداران با عجله اقدام به فروش نکنند,,B I I I B B I B I I I I B B I B B B I B I I I,B-NP I-NP I-NP I-NP O B-NP I-NP B-NP I-NP I-NP I-NP I-NP O O O O B-NP O O O O O O,B I I I I I I I I I I I I I I I I I I I I I I
حتی در قرون اولیه دو جریان موازی در خود اهل سنت وجود دارد که یکی از نظر علمی به امیرمومنان می رسد در مقابل خط فکری ابن مسعود یا دیگران,1,,O O B-NP I-NP B-NP I-NP I-NP O B-NP I-NP I-NP O O O O O O O O B-NP O O O O B-NP I-NP I-NP I-NP O B-NP,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
از سوی دیگر رشد بیش از حد سفارشات صنعتی در امریکا در ماه ژويیه می تواند نویدبخش ثبت یک رشد نیرومند در سه ماهه سوم سال پس از ثبت رشد بسیار بد سه ماهه قبل باشد,,B I I B I I I I I B B B B I B I B I I I I B B I I I B I B I I I I I I B,O O O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP O B-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I B
""" مطلب 76453",1,,O B-NP I-NP,B I I
گلستان از سال 70 همكاري خود را با نشر گل اقا اغاز كرد كه اي همكاري تا زمان درگذشت او ادامه داشت,1,,B-NP O B-NP I-NP B-NP I-NP O O B-NP I-NP I-NP O O O O B-NP O B-NP I-NP I-NP O O,B I B B I I I I I I I I I I I I I I I I I I
به گزارش شرکت های ایران یاسا تایر و رابر بیمه حکمت صبا پترو ماشین سازی نیرو محرکه کاشی پارس و حفاری شمال با اتمام سال مالی منتهی به اسفند گذشته زمان برگزاری مجمع سالانه را اعلام کردند,,B B I I I I I I I B I I I B I I I B I B B I B B I I B B B I B I I I B B I,O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-NP I-NP O B-NP I-NP O B-NP I-NP I-NP O O B-NP I-NP B-NP I-NP I-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I
دانشمندان انتظار دارند که انتی بادی ها از ما در برابر کووید-19 محافظت کنند اما هنوز مطمين نیستند که از ابتلای مجدد نیز جلوگیری کنند چرا که محققان هنگ کنگ روز دوشنبه گزارش دادند که به نظر می رسد اولین مورد تایید شده ابتلای مجدد مردی است که ابتدا در اواخر ماه مارس به این ویروس الوده شد و بعد از 4,1,,B-NP O O O B-NP I-NP I-NP O B-NP O O B-NP O O O O O O O O B-NP I-NP O O O O O B-NP I-NP I-NP B-NP I-NP O O O O O O O B-NP I-NP I-NP I-NP I-NP I-NP B-NP O O O O B-NP I-NP I-NP O B-NP I-NP O O O O O B-NP,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I B I I I I I I I B
دفترچه راهنمای ثبت نام در هشتمین امتحان مشترک فراگیر دستگاه های اجرایی کشور سال 1399 نیز همزمان با شروع ثبت نام از طریق درگاه اطلاع رسانی سازمان سنجش قابل دسترس خواهد بود,,B I I I B B I I I I I I I I I B B B B I I B I B I I I I B I I I,B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O O O O,B I I B I I I I I I I I I I I I I I I I B I I I I I I I I I I I
علاوه بر این گابی اشکنازی وزیر امور خارجه رژیم صهیونیستی با اشاره به محورهای گفت وگوی با هایکو ماس همتای المانی اش در بخشی از یک رشته پیام توییتری نوشت که ما همچنین درباره وضعیت منطقه و ان چه تلاش های ایران برای تضعیف امنیت منطقه از طریق حلقه های نیابتی ان می خواند حزب الله در لبنان و حماس در غزه صحبت کردیم,,B I I B I I I I I I B B I I I I I I I I I I B B I I I I I B B B B B B I B B I B I I B B I I B B I I I I B I B I B B B B B B B I,O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP O O B-NP I-NP O O O B-NP I-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O B-NP O B-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I
با وجود این انها هنوز قانع نشده بودند و کارت های بانکی صاحب مزرعه را همراه با رمز از او گرفتند,,B I B B B B I I B B I I I I B B I B B B B,O O B-NP B-NP O O O O O B-NP I-NP I-NP I-NP I-NP O O O B-NP O B-NP O,B I I I I I I I I I I I I I I I I I I B I
در همین حال فضل الدین عیار والی پروان اعلام کرد برای رسیدگی بهتر به اسیب دیدگان به بسته های کمکی برای پنج هزار خانواده 3 هزار چادر اب اشامیدنی مواد غذایی کمک نقدی و دارو نیاز داریم,,B I I B I I I I B I B B I I I I B B I I B B I I B I I B I B I B I B B B I,O O O B-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP B-NP I-NP I-NP B-NP I-NP B-NP I-NP B-NP I-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I
